epsilon,sequence_index,method,full_trajectory_rmse_rad_s,ode_residual_N_m
0.2,12,rk4_oracle,0.0,12.30474472054461
0.2,12,nominal_physics,205.90388294085417,0.2857427575828253
0.2,12,calibrated_physics,0.005092830932740063,12.304995310237077
0.2,13,rk4_oracle,0.0,15.797103010291941
0.2,13,nominal_physics,246.65008201902398,1.286578541534979
0.2,13,calibrated_physics,0.010862356093545912,15.797620674708114
0.2,14,rk4_oracle,0.0,12.483587368424185
0.2,14,nominal_physics,230.14019891192828,0.10254551675951515
0.2,14,calibrated_physics,0.005535672984486249,12.483847590294701
0.2,15,rk4_oracle,0.0,13.713311507737165
0.2,15,nominal_physics,220.92641104291826,0.29553314103600603
0.2,15,calibrated_physics,0.004058892923803522,13.713534475445913
0.2,16,rk4_oracle,0.0,16.835558234257537
0.2,16,nominal_physics,259.526044321522,0.35649713048383863
0.2,16,calibrated_physics,0.007347406608451148,16.835952021888744
0.2,17,rk4_oracle,0.0,14.665172902282317
0.2,17,nominal_physics,260.0553489637262,0.835110796012746
0.2,17,calibrated_physics,0.004834339377872113,14.665427562212901
0.2,18,rk4_oracle,0.0,13.009930939264034
0.2,18,nominal_physics,211.4967900552616,0.8174442514414905
0.2,18,calibrated_physics,0.007132839486249926,13.010268485199525
0.2,19,rk4_oracle,0.0,13.851335473264603
0.2,19,nominal_physics,210.5197840652508,0.32939578270378855
0.2,19,calibrated_physics,0.004864237413896622,13.85159874331575
0.2,20,rk4_oracle,0.0,14.353760063116463
0.2,20,nominal_physics,254.9608446425052,0.3746456735921651
0.2,20,calibrated_physics,0.005761086395924723,14.354049161865081
0.2,21,rk4_oracle,0.0,13.49132704770803
0.2,21,nominal_physics,232.3056963802518,0.8096686150636093
0.2,21,calibrated_physics,0.008900441485782559,13.491726696767643
0.2,22,rk4_oracle,0.0,13.066839373089202
0.2,22,nominal_physics,218.40919082330362,0.013285259005826828
0.2,22,calibrated_physics,0.004843567427872817,13.067086823758743
0.2,23,rk4_oracle,0.0,15.277181397607512
0.2,23,nominal_physics,236.27539389571336,0.1484527400312315
0.2,23,calibrated_physics,0.004857236168384977,15.277454192595252
0.2,24,rk4_oracle,0.0,13.74585202284685
0.2,24,nominal_physics,233.6612036242081,0.5566332974760325
0.2,24,calibrated_physics,0.007613285847326005,13.746210213884938
0.2,25,rk4_oracle,0.0,12.208526863807602
0.2,25,nominal_physics,217.28325027356848,0.7000494560644421
0.2,25,calibrated_physics,0.00337711861383051,12.20870421292971
0.2,26,rk4_oracle,0.0,12.545802015782748
0.2,26,nominal_physics,190.22940077178794,1.2459113220556963
0.2,26,calibrated_physics,0.007298143611088337,12.546148562317972
0.2,27,rk4_oracle,0.0,11.581885981851903
0.2,27,nominal_physics,215.2214800427752,0.4168916850910215
0.2,27,calibrated_physics,0.004001656010755204,11.582080876649556
0.2,28,rk4_oracle,0.0,15.423851083111812
0.2,28,nominal_physics,272.71965170253253,0.9618727585238468
0.2,28,calibrated_physics,0.0051122770211860956,15.424123342395665
0.2,29,rk4_oracle,0.0,15.52295099574095
0.2,29,nominal_physics,248.62746826226694,0.11330676108702371
0.2,29,calibrated_physics,0.006306828144057471,15.523283831849838
0.5,0,rk4_oracle,0.0,14.41174460898786
0.5,0,nominal_physics,217.96263527974116,0.08330764731721002
0.5,0,calibrated_physics,0.018132950193119175,14.412761102260381
0.5,1,rk4_oracle,0.0,12.268331693903312
0.5,1,nominal_physics,221.67402545830564,0.27512634247506557
0.5,1,calibrated_physics,0.02535611626880122,12.26948923150371
0.5,2,rk4_oracle,0.0,14.05399094383308
0.5,2,nominal_physics,219.5629203605652,0.6189777591878155
0.5,2,calibrated_physics,0.02549405899334029,14.055288521329267
0.5,3,rk4_oracle,0.0,12.975396017116994
0.5,3,nominal_physics,221.70152103807027,0.5016159582607027
0.5,3,calibrated_physics,0.027214368033513108,12.976674318910177
0.5,4,rk4_oracle,0.0,14.736558109146541
0.5,4,nominal_physics,236.78828881519658,0.4869026127795128
0.5,4,calibrated_physics,0.027976780375355188,14.737968876469484
0.5,5,rk4_oracle,0.0,14.120319158838711
0.5,5,nominal_physics,228.07509840245334,0.027725092077912322
0.5,5,calibrated_physics,0.020066085414602763,14.121385048301091
0.5,6,rk4_oracle,0.0,13.59927434298816
