epsilon,method,horizon_steps,horizon_seconds,trajectory_rmse_rad_s,trajectory_rmse_ci95_low_rad_s,trajectory_rmse_ci95_high_rad_s
0.2,calibrated_physics,200,2.0,0.2925308172511586,0.27727800330834473,0.30730498313689286
0.2,gru_residual_seed7,10,0.1,0.06912905646937198,0.05583809681148084,0.08142373585737774
0.2,gru_residual_seed7,50,0.5,0.05958550033483885,0.04831792301523905,0.07006549119218404
0.2,gru_residual_seed7,100,1.0,0.06398542155926887,0.05274010207968337,0.07465975392111038
0.2,gru_residual_seed7,200,2.0,0.06906421025057508,0.057499991423518734,0.08026203263385517
0.2,gru_residual_seed19,10,0.1,0.08720440302624678,0.0705502548320661,0.10268667247610529
0.2,gru_residual_seed19,50,0.5,0.05981227258881862,0.04875844160615118,0.07017769081112163
0.2,gru_residual_seed19,100,1.0,0.06076372222191579,0.05043492898574525,0.07056606342172639
0.2,gru_residual_seed19,200,2.0,0.06563309670123853,0.05493243817290163,0.0758900064431967
0.2,gru_residual_seed31,10,0.1,0.063944057492249,0.05171761473563748,0.07510781306762318
0.2,gru_residual_seed31,50,0.5,0.06077739984839995,0.04970130567689693,0.07121775771401331
0.2,gru_residual_seed31,100,1.0,0.056370396973247944,0.047239803166828145,0.06516194791839373
0.2,gru_residual_seed31,200,2.0,0.06173484111335247,0.05187305555020576,0.07118489683678875
0.2,jepa_residual_seed7,10,0.1,0.26544455025641817,0.24048146543221993,0.29218149367702334
0.2,jepa_residual_seed7,50,0.5,0.33474337579908614,0.31875580835553297,0.35164403832980595
0.2,jepa_residual_seed7,100,1.0,0.3120770287653213,0.2955867414063826,0.3296504994486268
0.2,jepa_residual_seed7,200,2.0,0.2941097432626733,0.27980613707546753,0.3094768981043901
0.2,jepa_residual_seed19,10,0.1,0.6968543701781573,0.687460632196216,0.7068450436099112
0.2,jepa_residual_seed19,50,0.5,0.5480133512269059,0.5381596907458872,0.5578778468699093
0.2,jepa_residual_seed19,100,1.0,0.5308895031057396,0.5208852163940046,0.5410628082897077
0.2,jepa_residual_seed19,200,2.0,0.5236010147481691,0.5146095621868041,0.5328382850238345
0.2,jepa_residual_seed31,10,0.1,0.6858578516749091,0.6793088441044351,0.692781970174816
0.2,jepa_residual_seed31,50,0.5,0.42645485843238756,0.42096026481664633,0.432285666446975
