epsilon,sequence_index,method,horizon_steps,horizon_error_rad_s
0,29,rk4_oracle,10,0.0
0,29,rk4_oracle,50,0.0
0,29,rk4_oracle,100,0.0
0,29,rk4_oracle,200,0.0
0,29,nominal_physics,10,79.30966004876734
0,29,nominal_physics,50,238.44982399398327
0,29,nominal_physics,100,275.0185201627403
0,29,nominal_physics,200,229.24004120796423
0,29,calibrated_physics,10,4.547473508864641e-13
0,29,calibrated_physics,50,8.01492205937393e-12
0,29,calibrated_physics,100,2.887645678129047e-11
0,29,calibrated_physics,200,9.561063052387908e-11
0.02,0,rk4_oracle,10,0.0
0.02,0,rk4_oracle,50,0.0
0.02,0,rk4_oracle,100,0.0
0.02,0,rk4_oracle,200,0.0
0.02,0,nominal_physics,10,77.86377863844075
0.02,0,nominal_physics,50,234.51033315144264
0.02,0,nominal_physics,100,271.2033560249893
0.02,0,nominal_physics,200,227.52617665482083
0.02,0,calibrated_physics,10,6.416769338102313e-09
0.02,0,calibrated_physics,50,2.1151212081349513e-05
0.02,0,calibrated_physics,100,0.000220831942328914
0.02,0,calibrated_physics,200,0.0016032172709969927
0.02,1,rk4_oracle,10,0.0
0.02,1,rk4_oracle,50,0.0
0.02,1,rk4_oracle,100,0.0
0.02,1,rk4_oracle,200,0.0
0.02,1,nominal_physics,10,68.53746862186267
0.02,1,nominal_physics,50,205.75669421064472
0.02,1,nominal_physics,100,236.7694867182642
0.02,1,nominal_physics,200,196.2839895145245
0.02,1,calibrated_physics,10,5.952756509941537e-09
0.02,1,calibrated_physics,50,1.8645343288881122e-05
0.02,1,calibrated_physics,100,0.00019340272302770245
0.02,1,calibrated_physics,200,0.0013869086584179513
0.02,2,rk4_oracle,10,0.0
0.02,2,rk4_oracle,50,0.0
0.02,2,rk4_oracle,100,0.0
0.02,2,rk4_oracle,200,0.0
0.02,2,nominal_physics,10,71.6786294348675
0.02,2,nominal_physics,50,218.70496390266936
0.02,2,nominal_physics,100,258.0553923457598
0.02,2,nominal_physics,200,227.15713939137788
0.02,2,calibrated_physics,10,2.5792701308091637e-09
0.02,2,calibrated_physics,50,1.0720985187617771e-05
